"Statistic Label","Census Year","Age Group","Sex","Administrative Counties","Frequency of speaking Irish","Level of Irish Spoken","UNIT","VALUE"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","139"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","20"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","66"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","53"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","1019"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","16"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","291"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","694"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","18"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","910"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","6"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","61"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","795"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","48"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Not stated","Speaks Irish - Total","Number","46"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Not stated","Speaks Irish - Very well","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Not stated","Speaks Irish - Well","Number","8"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Not stated","Speaks Irish - Not well","Number","30"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Laois County Council","Not stated","Ability to speak Irish, not stated","Number","6"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","All Irish speakers","Speaks Irish - Total","Number","946"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","All Irish speakers","Speaks Irish - Very well","Number","41"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","All Irish speakers","Speaks Irish - Well","Number","221"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","All Irish speakers","Speaks Irish - Not well","Number","653"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","All Irish speakers","Ability to speak Irish, not stated","Number","31"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","73"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","19"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","44"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","10"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","5"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","18"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","9"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","5"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","52"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","8"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","27"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","17"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","396"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","5"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","107"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","278"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","6"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","383"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","28"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","332"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","22"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Not stated","Speaks Irish - Total","Number","17"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Not stated","Speaks Irish - Very well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Not stated","Speaks Irish - Well","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Not stated","Speaks Irish - Not well","Number","10"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Longford County Council","Not stated","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","All Irish speakers","Speaks Irish - Total","Number","2985"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","All Irish speakers","Speaks Irish - Very well","Number","180"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","All Irish speakers","Speaks Irish - Well","Number","674"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","All Irish speakers","Speaks Irish - Not well","Number","2042"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","All Irish speakers","Ability to speak Irish, not stated","Number","89"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","230"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","57"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","137"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","35"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","23"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","19"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","78"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","31"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","31"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","16"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","190"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","27"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","96"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","64"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","1217"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","27"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","307"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","871"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","12"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","1179"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","13"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","90"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","1007"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","69"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Not stated","Speaks Irish - Total","Number","61"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Not stated","Speaks Irish - Very well","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Not stated","Speaks Irish - Well","Number","5"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Not stated","Speaks Irish - Not well","Number","48"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Louth County Council","Not stated","Ability to speak Irish, not stated","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","All Irish speakers","Speaks Irish - Total","Number","5780"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","All Irish speakers","Speaks Irish - Very well","Number","383"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","All Irish speakers","Speaks Irish - Well","Number","1393"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","All Irish speakers","Speaks Irish - Not well","Number","3835"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","All Irish speakers","Ability to speak Irish, not stated","Number","169"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","408"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","127"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","228"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","51"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","63"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","49"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","12"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","13"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","7"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","6"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","3"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","4"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","1"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","202"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","66"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","88"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","46"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","2"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","408"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","45"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","203"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","155"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","5"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","2447"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","70"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","664"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","1684"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","29"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","2096"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","10"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","169"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","1806"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","111"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Not stated","Speaks Irish - Total","Number","133"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Not stated","Speaks Irish - Very well","Number","8"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Not stated","Speaks Irish - Well","Number","20"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Not stated","Speaks Irish - Not well","Number","85"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Meath County Council","Not stated","Ability to speak Irish, not stated","Number","20"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Offaly County Council","All Irish speakers","Speaks Irish - Total","Number","1960"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Offaly County Council","All Irish speakers","Speaks Irish - Very well","Number","89"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Offaly County Council","All Irish speakers","Speaks Irish - Well","Number","441"
"Irish speakers aged 3 years and over","2022","40 - 44 years","Both sexes","Offaly County Council","All Irish speakers","Speaks Irish - Not well","Number","1356"
