"Statistic Label","Census Year","Age Group","Sex","Administrative Counties","Frequency of speaking Irish","Level of Irish Spoken","UNIT","VALUE"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","31"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","19"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","1"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","32"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","4"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","8"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","20"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","16"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","8"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","8"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","314"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","139"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","128"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","39"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","8"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","1109"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","187"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","559"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","357"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","6"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","6803"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","342"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","2084"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","4264"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","113"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","5598"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","44"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","564"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","4654"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","336"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Not stated","Speaks Irish - Total","Number","592"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Not stated","Speaks Irish - Very well","Number","57"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Not stated","Speaks Irish - Well","Number","120"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Not stated","Speaks Irish - Not well","Number","316"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Carlow County Council","Not stated","Ability to speak Irish, not stated","Number","99"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","All Irish speakers","Speaks Irish - Total","Number","162400"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","All Irish speakers","Speaks Irish - Very well","Number","16563"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","All Irish speakers","Speaks Irish - Well","Number","49783"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","All Irish speakers","Speaks Irish - Not well","Number","92201"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","All Irish speakers","Ability to speak Irish, not stated","Number","3853"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","38024"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","6253"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","17714"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","13424"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","633"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","1589"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","1144"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","342"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","89"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","14"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","414"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","124"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","192"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","98"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","269"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","35"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","95"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","136"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","140"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","5"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","27"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Not well","Number","104"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily within and never outside the education system","Ability to speak Irish, not stated","Number","4"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily outside the education system only","Speaks Irish - Total","Number","4465"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily outside the education system only","Speaks Irish - Very well","Number","2381"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily outside the education system only","Speaks Irish - Well","Number","1494"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily outside the education system only","Speaks Irish - Not well","Number","555"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish daily outside the education system only","Ability to speak Irish, not stated","Number","35"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish weekly outside the education system only","Speaks Irish - Total","Number","10322"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish weekly outside the education system only","Speaks Irish - Very well","Number","2247"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish weekly outside the education system only","Speaks Irish - Well","Number","4978"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish weekly outside the education system only","Speaks Irish - Not well","Number","3018"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish weekly outside the education system only","Ability to speak Irish, not stated","Number","79"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish less often outside the education system only","Speaks Irish - Total","Number","58312"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish less often outside the education system only","Speaks Irish - Very well","Number","3473"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish less often outside the education system only","Speaks Irish - Well","Number","19308"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish less often outside the education system only","Speaks Irish - Not well","Number","34879"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Speaks Irish less often outside the education system only","Ability to speak Irish, not stated","Number","652"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Never speaks Irish outside the education system only","Speaks Irish - Total","Number","44260"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Never speaks Irish outside the education system only","Speaks Irish - Very well","Number","469"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Never speaks Irish outside the education system only","Speaks Irish - Well","Number","4836"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Never speaks Irish outside the education system only","Speaks Irish - Not well","Number","37076"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Never speaks Irish outside the education system only","Ability to speak Irish, not stated","Number","1879"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Not stated","Speaks Irish - Total","Number","4605"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Not stated","Speaks Irish - Very well","Number","432"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Not stated","Speaks Irish - Well","Number","797"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Not stated","Speaks Irish - Not well","Number","2822"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dublin City Council","Not stated","Ability to speak Irish, not stated","Number","554"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","All Irish speakers","Speaks Irish - Total","Number","93899"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","All Irish speakers","Speaks Irish - Very well","Number","9582"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","All Irish speakers","Speaks Irish - Well","Number","27487"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","All Irish speakers","Speaks Irish - Not well","Number","54926"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","All Irish speakers","Ability to speak Irish, not stated","Number","1904"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within the education system only","Speaks Irish - Total","Number","23741"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within the education system only","Speaks Irish - Very well","Number","3528"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within the education system only","Speaks Irish - Well","Number","10533"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within the education system only","Speaks Irish - Not well","Number","9435"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within the education system only","Ability to speak Irish, not stated","Number","245"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Total","Number","1101"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Very well","Number","852"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Well","Number","200"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and daily outside the education system","Speaks Irish - Not well","Number","46"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and daily outside the education system","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Total","Number","266"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Very well","Number","63"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Well","Number","115"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and weekly outside the education system","Speaks Irish - Not well","Number","88"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and weekly outside the education system","Ability to speak Irish, not stated","Number","0"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Total","Number","188"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Very well","Number","26"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Well","Number","58"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and less often outside the education system","Speaks Irish - Not well","Number","101"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and less often outside the education system","Ability to speak Irish, not stated","Number","3"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Total","Number","93"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Very well","Number","5"
"Irish speakers aged 3 years and over","2022","All ages","Both sexes","Dún Laoghaire Rathdown County Council","Speaks Irish daily within and never outside the education system","Speaks Irish - Well","Number","19"
