"Statistic Label","Census Year","Sex","County of Usual Residence","UNIT","VALUE"
"Irish speakers","2022","Female","Offaly","Number","15884"
"Irish speakers","2022","Female","Westmeath","Number","18580"
"Irish speakers","2022","Female","Wexford","Number","31024"
"Irish speakers","2022","Female","Wicklow","Number","31149"
"Irish speakers","2022","Female","Clare","Number","29602"
"Irish speakers","2022","Female","Cork City and Cork County","Number","129439"
"Irish speakers","2022","Female","Kerry","Number","34586"
"Irish speakers","2022","Female","Limerick City and County","Number","42800"
"Irish speakers","2022","Female","Tipperary","Number","36263"
"Irish speakers","2022","Female","Waterford City and County","Number","26281"
"Irish speakers","2022","Female","Galway City","Number","18227"
"Irish speakers","2022","Female","Galway County","Number","47798"
"Irish speakers","2022","Female","Leitrim","Number","7276"
"Irish speakers","2022","Female","Mayo","Number","31285"
"Irish speakers","2022","Female","Roscommon","Number","14909"
"Irish speakers","2022","Female","Sligo","Number","14956"
"Irish speakers","2022","Female","Cavan","Number","14853"
"Irish speakers","2022","Female","Donegal","Number","32469"
"Irish speakers","2022","Female","Monaghan","Number","13066"
"Non - Irish speakers","2022","Both sexes","State","Number","2759028"
"Non - Irish speakers","2022","Both sexes","Carlow","Number","34572"
"Non - Irish speakers","2022","Both sexes","Dublin City","Number","334150"
"Non - Irish speakers","2022","Both sexes","Dún Laoghaire-Rathdown","Number","124825"
"Non - Irish speakers","2022","Both sexes","Fingal","Number","181628"
"Non - Irish speakers","2022","Both sexes","South Dublin","Number","171650"
"Non - Irish speakers","2022","Both sexes","Kildare","Number","131556"
"Non - Irish speakers","2022","Both sexes","Kilkenny","Number","54794"
"Non - Irish speakers","2022","Both sexes","Laois","Number","49972"
"Non - Irish speakers","2022","Both sexes","Longford","Number","24513"
"Non - Irish speakers","2022","Both sexes","Louth","Number","81135"
"Non - Irish speakers","2022","Both sexes","Meath","Number","122365"
"Non - Irish speakers","2022","Both sexes","Offaly","Number","47455"
"Non - Irish speakers","2022","Both sexes","Westmeath","Number","52400"
"Non - Irish speakers","2022","Both sexes","Wexford","Number","95130"
"Non - Irish speakers","2022","Both sexes","Wicklow","Number","87476"
"Non - Irish speakers","2022","Both sexes","Clare","Number","61091"
"Non - Irish speakers","2022","Both sexes","Cork City and Cork County","Number","293721"
"Non - Irish speakers","2022","Both sexes","Kerry","Number","80078"
"Non - Irish speakers","2022","Both sexes","Limerick City and County","Number","104900"
"Non - Irish speakers","2022","Both sexes","Tipperary","Number","87473"
"Non - Irish speakers","2022","Both sexes","Waterford City and County","Number","66659"
"Non - Irish speakers","2022","Both sexes","Galway City","Number","40057"
"Non - Irish speakers","2022","Both sexes","Galway County","Number","88096"
"Non - Irish speakers","2022","Both sexes","Leitrim","Number","19155"
"Non - Irish speakers","2022","Both sexes","Mayo","Number","70758"
"Non - Irish speakers","2022","Both sexes","Roscommon","Number","37583"
"Non - Irish speakers","2022","Both sexes","Sligo","Number","37411"
"Non - Irish speakers","2022","Both sexes","Cavan","Number","47558"
"Non - Irish speakers","2022","Both sexes","Donegal","Number","94478"
"Non - Irish speakers","2022","Both sexes","Monaghan","Number","36389"
"Non - Irish speakers","2022","Male","State","Number","1435491"
"Non - Irish speakers","2022","Male","Carlow","Number","18373"
"Non - Irish speakers","2022","Male","Dublin City","Number","169393"
"Non - Irish speakers","2022","Male","Dún Laoghaire-Rathdown","Number","62177"
"Non - Irish speakers","2022","Male","Fingal","Number","92512"
"Non - Irish speakers","2022","Male","South Dublin","Number","86842"
"Non - Irish speakers","2022","Male","Kildare","Number","69340"
"Non - Irish speakers","2022","Male","Kilkenny","Number","29235"
"Non - Irish speakers","2022","Male","Laois","Number","26956"
"Non - Irish speakers","2022","Male","Longford","Number","13035"
"Non - Irish speakers","2022","Male","Louth","Number","41697"
"Non - Irish speakers","2022","Male","Meath","Number","64553"
"Non - Irish speakers","2022","Male","Offaly","Number","25375"
"Non - Irish speakers","2022","Male","Westmeath","Number","27553"
"Non - Irish speakers","2022","Male","Wexford","Number","49760"
"Non - Irish speakers","2022","Male","Wicklow","Number","45444"
"Non - Irish speakers","2022","Male","Clare","Number","32094"
"Non - Irish speakers","2022","Male","Cork City and Cork County","Number","153121"
"Non - Irish speakers","2022","Male","Kerry","Number","42215"
"Non - Irish speakers","2022","Male","Limerick City and County","Number","55370"
"Non - Irish speakers","2022","Male","Tipperary","Number","46404"
"Non - Irish speakers","2022","Male","Waterford City and County","Number","34852"
"Non - Irish speakers","2022","Male","Galway City","Number","20083"
"Non - Irish speakers","2022","Male","Galway County","Number","46864"
"Non - Irish speakers","2022","Male","Leitrim","Number","10215"
"Non - Irish speakers","2022","Male","Mayo","Number","37747"
"Non - Irish speakers","2022","Male","Roscommon","Number","20201"
"Non - Irish speakers","2022","Male","Sligo","Number","19789"
"Non - Irish speakers","2022","Male","Cavan","Number","25385"
"Non - Irish speakers","2022","Male","Donegal","Number","49279"
"Non - Irish speakers","2022","Male","Monaghan","Number","19627"
"Non - Irish speakers","2022","Female","State","Number","1323537"
"Non - Irish speakers","2022","Female","Carlow","Number","16199"
"Non - Irish speakers","2022","Female","Dublin City","Number","164757"
"Non - Irish speakers","2022","Female","Dún Laoghaire-Rathdown","Number","62648"
"Non - Irish speakers","2022","Female","Fingal","Number","89116"
"Non - Irish speakers","2022","Female","South Dublin","Number","84808"
"Non - Irish speakers","2022","Female","Kildare","Number","62216"
"Non - Irish speakers","2022","Female","Kilkenny","Number","25559"
"Non - Irish speakers","2022","Female","Laois","Number","23016"
"Non - Irish speakers","2022","Female","Longford","Number","11478"
"Non - Irish speakers","2022","Female","Louth","Number","39438"
"Non - Irish speakers","2022","Female","Meath","Number","57812"
"Non - Irish speakers","2022","Female","Offaly","Number","22080"
"Non - Irish speakers","2022","Female","Westmeath","Number","24847"
"Non - Irish speakers","2022","Female","Wexford","Number","45370"
"Non - Irish speakers","2022","Female","Wicklow","Number","42032"
