GUID,GEOGID,GEOGDESC,Reference Geography,ED_GUID,ED_ID_STR,ED_ENGLISH,ED_GAEILGE,ED_OFFICIAL,LEA_GUID,CSO_LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Total - Females (Normalisation) ,Total - Males (Normalisation),Total Population (Normalisation),Occupied (Normalisation),Temporarily absent (Normalisation),Unoccupied holiday homes (Normalisation),Other vacant dwellings (Normalisation),Total dwellings (Normalisation),AREA,Area unit of measure,Shape__Area,Shape__Length,GUID,Yes,No,Not stated,Total,ObjectId
2ae19629-16dc-13a3-e055-000000000001,2ae19629-16dc-13a3-e055-000000000001,JAMESTOWN,CSO ED-2022,2ae19629-16dc-13a3-e055-000000000001,107054,JAMESTOWN,BAILE THAIDHG DHUIBH,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,263,269,532,174,2,1,9,186,14167000,Sq Metres,14167182.60849,19492.9547745667,2ae19629-16dc-13a3-e055-000000000001,236,247,26,509,21
2ae19629-16e4-13a3-e055-000000000001,2ae19629-16e4-13a3-e055-000000000001,REARYMORE,CSO ED-2022,2ae19629-16e4-13a3-e055-000000000001,107085,REARYMORE,RAOIRE MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,148,159,307,102,0,0,7,109,16780000,Sq Metres,16779768.0140381,20618.1106003275,2ae19629-16e4-13a3-e055-000000000001,97,191,12,300,22
2ae19629-16e6-13a3-e055-000000000001,2ae19629-16e6-13a3-e055-000000000001,ROSSMORE,CSO ED-2022,2ae19629-16e6-13a3-e055-000000000001,107087,ROSSMORE,AN ROS MÓR,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,224,240,464,145,1,1,7,154,12514000,Sq Metres,12514087.2844849,20435.0711542142,2ae19629-16e6-13a3-e055-000000000001,218,214,17,449,23
2ae19629-16e7-13a3-e055-000000000001,2ae19629-16e7-13a3-e055-000000000001,SALLYFORD,CSO ED-2022,2ae19629-16e7-13a3-e055-000000000001,107088,SALLYFORD,ÁTH NA SAILÍ,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,314,290,604,198,2,1,10,211,19694000,Sq Metres,19694221.6515503,21769.8372799039,2ae19629-16e7-13a3-e055-000000000001,287,277,27,591,24
2ae19629-16eb-13a3-e055-000000000001,2ae19629-16eb-13a3-e055-000000000001,MONEENALASSA,CSO ED-2022,2ae19629-16eb-13a3-e055-000000000001,107069,MONEENALASSA,MÓINÍN AN LEASA,N,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,66,83,149,52,0,0,11,63,11921000,Sq Metres,11920926.2384338,21152.9330753571,2ae19629-16eb-13a3-e055-000000000001,69,72,0,141,25
2ae19629-16ec-13a3-e055-000000000001,2ae19629-16ec-13a3-e055-000000000001,MONEYMORE,CSO ED-2022,2ae19629-16ec-13a3-e055-000000000001,107070,MONEYMORE,AN MUINE MÓR,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,71,70,141,48,1,0,3,52,10041000,Sq Metres,10041439.003418,17494.0314069968,2ae19629-16ec-13a3-e055-000000000001,67,68,0,135,26
2ae19629-16ee-13a3-e055-000000000001,2ae19629-16ee-13a3-e055-000000000001,MOUNTMELLICK URBAN,CSO ED-2022,2ae19629-16ee-13a3-e055-000000000001,107072,MOUNTMELLICK URBAN,MÓINTEACH MÍLIC (UIRBEACH),Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,1676,1496,3172,1216,15,4,159,1394,2272000,Sq Metres,2271631.55386353,8382.05585502695,2ae19629-16ee-13a3-e055-000000000001,1039,1869,146,3054,27
2ae19629-16f2-13a3-e055-000000000001,2ae19629-16f2-13a3-e055-000000000001,NEWTOWN,CSO ED-2022,2ae19629-16f2-13a3-e055-000000000001,107076,NEWTOWN,CLUAIN BROC,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,162,168,330,117,2,0,6,125,11243000,Sq Metres,11242625.2262878,17932.9780662017,2ae19629-16f2-13a3-e055-000000000001,102,201,15,318,28
2ae19629-16f3-13a3-e055-000000000001,2ae19629-16f3-13a3-e055-000000000001,O'MORESFOREST,CSO ED-2022,2ae19629-16f3-13a3-e055-000000000001,107077,O'MORESFOREST,COILL UÍ MHÓRDHA,Y,2ae19629-3eff-13a3-e055-000000000001,BORRIS-IN-OSSORY-MOUNTMELLICK,13100400,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,247,266,513,168,1,1,12,182,20360000,Sq Metres,20359801.1321411,20598.0466463716,2ae19629-16f3-13a3-e055-000000000001,220,273,4,497,29
2ae19629-16f4-13a3-e055-000000000001,2ae19629-16f4-13a3-e055-000000000001,PORTARLINGTON SOUTH,CSO ED-2022,2ae19629-16f4-13a3-e055-000000000001,107078,PORTARLINGTON SOUTH,CÚIL AN TSÚDAIRE THEAS,Y,2ae19629-3f01-13a3-e055-000000000001,GRAIGUECULLEN-PORTARLINGTON,13100402,Y,2ae19629-148d-13a3-e055-000000000001,LAOIS COUNTY COUNCIL,LS,LAOIS,Laois,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,3933,3926,7859,2801,40,5,221,3067,11547000,Sq Metres,11547268.5943298,20315.350314729,2ae19629-16f4-13a3-e055-000000000001,2580,4483,504,7567,30
