ed_name,county,all_irish_speakers,never_speaks_irish_outside_education_only,not_stated,speaks_irish_daily,speaks_irish_daily_education_only,speaks_irish_less_often,speaks_irish_weekly,share_daily_of_all,share_daily_education_only_of_all,share_weekly_of_all,share_less_often_of_all,share_never_outside_education_only_of_all,share_not_stated_of_all,share_daily_any_of_all
Achonry West,Sligo,362,103,11,6,110,109,23,0.016574585635359115,0.30386740331491713,0.06353591160220995,0.3011049723756906,0.2845303867403315,0.03038674033149171,0.32044198895027626
Aclare,Sligo,90,28,3,1,15,38,5,0.011111111111111112,0.16666666666666666,0.05555555555555555,0.4222222222222222,0.3111111111111111,0.03333333333333333,0.17777777777777778
Adamstown,Wexford,255,74,5,2,85,79,10,0.00784313725490196,0.3333333333333333,0.0392156862745098,0.30980392156862746,0.2901960784313726,0.0196078431372549,0.3411764705882353
Adare North,Limerick,322,78,10,7,108,102,17,0.021739130434782608,0.33540372670807456,0.052795031055900624,0.3167701863354037,0.2422360248447205,0.031055900621118012,0.35714285714285715
Adare South,Limerick,967,260,37,38,236,346,50,0.03929679420889348,0.24405377456049637,0.05170630816959669,0.3578076525336091,0.2688728024819028,0.038262668045501554,0.28335056876938985
Addergoole,Galway County,260,78,3,2,76,84,17,0.007692307692307693,0.2923076923076923,0.06538461538461539,0.3230769230769231,0.3,0.011538461538461539,0.3
Addergoole,Mayo,355,97,6,10,102,119,21,0.028169014084507043,0.28732394366197184,0.059154929577464786,0.3352112676056338,0.27323943661971833,0.016901408450704224,0.3154929577464789
Adrigole,Cork County,179,39,4,7,48,76,5,0.03910614525139665,0.2681564245810056,0.027932960893854747,0.4245810055865922,0.21787709497206703,0.0223463687150838,0.30726256983240224
Agha,Carlow,184,45,2,1,70,52,14,0.005434782608695652,0.3804347826086957,0.07608695652173914,0.2826086956521739,0.24456521739130435,0.010869565217391304,0.3858695652173913
Aghabog,Monaghan,113,23,1,2,43,38,6,0.017699115044247787,0.3805309734513274,0.05309734513274336,0.336283185840708,0.20353982300884957,0.008849557522123894,0.39823008849557523
Aghaboy,Longford,255,70,4,2,98,69,12,0.00784313725490196,0.3843137254901961,0.047058823529411764,0.27058823529411763,0.27450980392156865,0.01568627450980392,0.39215686274509803
Aghacashel,Leitrim,30,10,0,0,10,9,1,0.0,0.3333333333333333,0.03333333333333333,0.3,0.3333333333333333,0.0,0.3333333333333333
Aghadoe,Kerry,396,97,10,15,124,128,22,0.03787878787878788,0.31313131313131315,0.05555555555555555,0.32323232323232326,0.24494949494949494,0.025252525252525252,0.351010101010101
Aghadown North,Cork County,101,34,3,2,26,30,6,0.019801980198019802,0.25742574257425743,0.0594059405940594,0.297029702970297,0.33663366336633666,0.0297029702970297,0.27722772277227725
